Player,Time,Date,Platform,Country,Map
Bab,13:38,"11th, February 2024",pc,australia,Spaceland
sixkzz,13:41,"20th, March 2025",pc,germany,Spaceland
Wistful,14:02,"24th, January 2024",xb1,usa,Spaceland
Pinkhalfmoon,14:02,"6th, March 2025",xb,usa,Spaceland
3Dollar,14:04,"28th, December 2024",pc,canada,Spaceland
TheOnlyZae,14:14,"8th, February 2022",ps4,usa,Spaceland
Lilleman,14:21,"15th, March 2024",ps4,sweden,Spaceland
Dr Jon23,14:24,"2nd, March 2024",xb1,usa,Spaceland
Remaster,14:28,"23rd, August 2024",pc,usa,Spaceland
MenBot115,14:36,"26th, February 2023",ps4,netherlands,Spaceland
ILLEST,14:47,"30th, July 2024",xb1,usa,Spaceland
Sliver,14:50,"14th, August 2024",pc,australia,Spaceland
Kevlon,14:51,"27th, February 2022",pc,usa,Spaceland
Zilla,14:52,"1st, May 2025",pc,usa,Spaceland
Red Death,14:57,"23rd, May 2023",xb1,usa,Spaceland
Trazzle,14:59,"2nd, June 2024",pc,qb,Spaceland
Th0r,15:16,"12th, August 2024",pc,usa,Spaceland
Chipolox7,15:18,"27th, March 2024",ps4,germany,Spaceland
Tom Szentirmay,15:31,"2nd, May 2022",pc,australia,Spaceland
MrKrabz,15:36,"14th, March 2025",pc,usa,Spaceland
ClydeBarrow,15:37,"23rd, November 2022",pc,usa,Spaceland
Mikee B,15:39,"6th, September 2021",pc,usa,Spaceland
allstar35cf,16:05,"13th, May 2021",ps4,usa,Spaceland
MoeJou,16:28,"9th, September 2021",ps4,usa,Spaceland
DR3AMWARRIOR,16:33,"10th, July 2023",pc,usa,Spaceland
Blaqh,16:41,"28th, January 2024",ps4,usa,Spaceland
chnl ZA,16:59,"7th, October 2020",ps4,usa,Spaceland
ItsReinzTTV,17:00,"13th, February 2024",xb1,usa,Spaceland
GamerDrew,17:35,"14th, March 2024",pc,usa,Spaceland
Ahmaidi,17:41,"26th, September 2024",ps4,uae,Spaceland
Plasmid Jeff,17:54,"21st, May 2020",ps4,usa,Spaceland
KauloKaasie4.0,18:16,"18th, December 2023",pc,netherlands,Spaceland
lil_rascal563,18:16,"27th, April 2024",ps4,germany,Spaceland
LiningDragon542,18:17,"27th, April 2021",xb1,usa,Spaceland
Killaxx22,18:17,"14th, March 2024",pc,kuwait,Spaceland
Fanatic,18:20,"12th, March 2021",pc,usa,Spaceland
SDR_EVO99,18:34,"8th, August 2023",ps4,usa,Spaceland
FaZe h1ghsky,18:35,"25th, September 2024",xb1,england,Spaceland
Blazin Caucasian,18:36,"9th, October 2020",ps4,usa,Spaceland
Tri3Phobia,18:44,"27th, June 2024",xb1,usa,Spaceland
CodeNamePizza,18:48,"3rd, August 2021",pc,england,Spaceland
Slap_Squad,19:05,"31st, August 2020",ps4,usa,Spaceland
Ald4r,19:22,"6th, August 2023",pc,usa,Spaceland
Death_Storm4,19:32,"8th, April 2021",pc,spain,Spaceland
Mr. HoboGuy,19:45,"3rd, April 2021",ps4,england,Spaceland
Yt_efrabruhh,19:48,"29th, August 2020",ps4,usa,Spaceland
Koolkiddamon,20:00,"13th, July 2020",xb1,usa,Spaceland
Duggy_Fresh,20:36,"16th, July 2020",pc,usa,Spaceland
WhosHuero,20:43,"30th, August 2020",xb1,usa,Spaceland
Jumping Robot,21:11,"28th, June 2020",ps4,scotland,Spaceland
Joaco1503,21:47,"10th, June 2020",ps4,chile,Spaceland
SwEaTyJoSePh-YT,22:40,"30th, March 2024",ps4,australia,Spaceland
nitroturtle36,22:40,"18th, April 2024",ps4,usa,Spaceland
JumpingRobot,22:45,"22nd, June 2020",ps4,scotland,Spaceland
Katt,23:02,"15th, August 2023",ps4,usa,Spaceland
NIGHTMAREKING784,24:05,"26th, July 2023",ps4,usa,Spaceland
LukeyJK,24:10,"22nd, May 2024",ps4,england,Spaceland
Yzacii,25:28,"11th, January 2025",ps4,england,Spaceland
JohnKenYawn,27:47,"8th, June 2020",ps4,usa,Spaceland
xDZweird,28:05,"21st, May 2020",xb1,france,Spaceland
namish555,30:14,"21st, May 2024",pc,bolivia,Spaceland
Pinkhalfmoon,17:29,"29th, April 2025",xb,usa,Rave
MrKrabz,17:55,"29th, April 2025",pc,usa,Rave
sixkzz,18:04,"20th, March 2025",pc,germany,Rave
Kevlon,18:05,"25th, February 2025",pc,usa,Rave
MenBot115,18:27,"1st, March 2022",ps4,netherlands,Rave
Lilleman,18:41,"13th, March 2024",ps4,sweden,Rave
TheOnlyZae,18:44,"23rd, December 2024",pc,usa,Rave
Red Death,18:56,"8th, January 2025",xb1,usa,Rave
Wistful,18:59,"11th, June 2024",pc,usa,Rave
efra,19:17,"26th, June 2024",pc,usa,Rave
Midzi,20:13,"7th, January 2024",pc,usa,Rave
Nukemaster7125,20:20,"23rd, August 2023",pc,england,Rave
Fanatic,20:29,"1st, June 2021",pc,usa,Rave
Mikee B,21:03,"4th, October 2021",pc,usa,Rave
Snappy,21:03,"11th, June 2024",pc,usa,Rave
chnl ZA,21:04,"3rd, June 2020",ps4,usa,Rave
Death_Storm4,21:27,"21st, April 2021",pc,spain,Rave
Yt_efrabruhh,21:28,"6th, March 2021",ps4,usa,Rave
ItsReinzTTV,22:00,"13th, February 2024",xb1,usa,Rave
ILLEST,22:06,"5th, September 2022",xb1,usa,Rave
Iz NaiNai,22:15,"24th, May 2021",ps4,netherlands,Rave
Mr. HoboGuy,22:50,"7th, August 2021",ps4,england,Rave
weemuzza08,22:51,"20th, June 2024",pc,scotland,Rave
Plasmid Jeff,23:05,"9th, July 2021",ps4,usa,Rave
Joaco1503,24:07,"8th, June 2020",ps4,chile,Rave
LiningDragon542,24:41,"6th, April 2021",xb1,usa,Rave
KauloKaasie4.0,25:34,"27th, November 2023",pc,netherlands,Rave
Duggy_Fresh,25:52,"27th, July 2020",pc,usa,Rave
